Project_ID,Project_Name,Project_Type,Region,State,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Start_Date,Snapshot_Date,Snapshot_Year,Original_Budget,Planned_Duration_Days,Planned_Percent_Complete,Actual_Percent_Complete,CPI_Snapshot,SPI_Snapshot,Cost_Variance_Pct_Snapshot,Schedule_Variance_Days_Snapshot,Labor_Productivity_Index,Procurement_Delay_Days_to_Date,Weather_Impact_Days_to_Date,Safety_Incident_Rate_to_Date,Snapshot_Data_Completeness_Pct
PRJ3-00607,Redwood Neighborhood 607,Residential,Mountain,UT,Private,Lump Sum,IPD,Moderate,Low,Standard,2020-05-25,2021-04-20,2021,34349000,708,0.467,0.4493,0.9987,0.9853,-0.0035,13,0.99,20,11,0.788,0.9541
PRJ3-00608,Aspen Retail Center 608,Commercial,Northeast,NJ,Private,Unit Price,CMAR,Very High,Moderate,Fast,2023-06-06,2024-06-27,2024,45312500,793,0.489,0.4355,0.9661,0.9422,0.0124,42,1.0353,4,22,0.942,0.9679
PRJ3-00609,Evergreen Office Campus 609,Commercial,West,WA,Private,Guaranteed Maximum Price,CMAR,Moderate,High,Fast,2022-09-05,2023-08-05,2023,134072900,675,0.496,0.55,1.0691,1.0293,-0.0475,-36,1.052,0,1,0.094,0.9696
PRJ3-00610,Harbor Corporate Center 610,Commercial,West,OR,Public,Unit Price,IPD,High,Low,Fast,2023-05-03,2024-05-23,2024,68437800,760,0.509,0.4705,0.9012,0.9472,0.0454,29,0.9801,0,9,0.671,0.9666
PRJ3-00611,Pioneer Retail Center 611,Commercial,West,OR,Public,Guaranteed Maximum Price,IPD,Moderate,Moderate,Fast,2025-05-14,2025-12-25,2025,85384800,535,0.421,0.4636,0.9012,1.0571,0.0378,-23,1.0405,4,5,0.583,0.9769
PRJ3-00612,Granite Education Center 612,Institutional,West,OR,Private,Cost Plus,CMAR,High,High,Fast,2020-05-22,2021-05-10,2021,112898300,960,0.368,0.3413,1.0255,0.92,-0.0215,26,1.0393,14,12,0.139,0.9648
PRJ3-00613,Evergreen Airport Improvements 613,Infrastructure,Midwest,MO,Private,Lump Sum,Design-Build,Low,Moderate,Fast,2021-12-16,2024-01-07,2024,141081500,1309,0.575,0.5867,0.9961,1.0204,0.0041,-15,1.0977,10,21,0.221,0.9793
PRJ3-00614,Gateway Research Facility 614,Institutional,Midwest,MN,Private,Cost Plus,IPD,Very High,High,Fast,2019-04-17,2020-07-03,2020,70469500,776,0.572,0.5511,0.9981,1.0107,0.0182,16,1.0194,24,20,0.676,0.9828
PRJ3-00615,Lakeview Earthworks Package 615,Heavy Civil,Mountain,CO,Public,Guaranteed Maximum Price,IPD,Moderate,Moderate,Standard,2023-10-11,2025-06-28,2025,302222300,1211,0.517,0.4293,0.9237,0.8999,0.0364,106,0.997,3,13,0.474,0.955
PRJ3-00616,Crescent Residences 616,Residential,Southwest,AZ,Private,Lump Sum,Design-Build,Very High,Moderate,Slow,2022-04-13,2023-04-06,2023,16041200,731,0.49,0.4299,0.9429,0.8818,0.0306,44,0.9431,12,9,0.578,0.9639
PRJ3-00617,Pioneer Office Campus 617,Commercial,Mountain,UT,Private,Lump Sum,Design-Build,Moderate,Moderate,Standard,2020-05-11,2021-06-03,2021,196261800,776,0.5,0.5284,1.0029,0.9822,-0.0003,-22,1.0226,19,13,0.704,0.9486
PRJ3-00618,Horizon Neighborhood 618,Residential,West,OR,Public,Guaranteed Maximum Price,Design-Bid-Build,Moderate,High,Standard,2018-09-12,2019-05-02,2019,10581300,626,0.372,0.3467,1.1033,0.9062,-0.0337,16,1.0175,2,7,0.36,0.9703
PRJ3-00619,Horizon Transit-Oriented Development 619,Mixed-Use,West,OR,Public-Private Partnership,Lump Sum,CMAR,Moderate,Low,Fast,2019-03-25,2020-05-12,2020,188989800,910,0.455,0.3988,0.9617,0.9317,0.0077,51,0.8534,18,0,0.327,0.9977
PRJ3-00620,Evergreen Marketplace 620,Commercial,West,CA,Public,Lump Sum,Design-Build,High,Low,Standard,2024-06-22,2025-02-04,2025,257507500,644,0.353,0.2793,0.961,0.8073,0.0113,47,1.0325,0,11,0.294,0.9594
PRJ3-00621,Copper Utility Corridor 621,Infrastructure,Mountain,UT,Private,Cost Plus,Design-Build,Moderate,Moderate,Standard,2024-04-03,2025-08-19,2025,108989600,1163,0.433,0.425,0.9138,0.9849,0.069,9,0.9268,24,17,0.313,0.9708
PRJ3-00622,Liberty Logistics Center 622,Industrial,West,OR,Public,Cost Plus,Design-Bid-Build,High,Moderate,Standard,2022-04-08,2023-05-28,2023,231084700,1166,0.356,0.3295,0.8416,0.9453,0.0737,31,0.8723,26,8,0.503,0.9621
PRJ3-00623,Riverside Apartments 623,Residential,Northeast,NJ,Private,Unit Price,IPD,Moderate,Moderate,Slow,2022-06-02,2023-09-28,2023,63880000,811,0.596,0.5931,1.0442,0.9268,-0.0154,2,0.9714,29,22,0.342,0.9677
PRJ3-00624,Cedar Medical Center 624,Institutional,West,NV,Private,Unit Price,Design-Bid-Build,Very High,Moderate,Standard,2017-09-10,2019-03-16,2019,136261800,1235,0.447,0.4114,0.9122,0.9231,0.0656,44,0.8618,27,12,0.881,0.958
PRJ3-00625,Aspen Manufacturing Facility 625,Industrial,West,WA,Public-Private Partnership,Guaranteed Maximum Price,Design-Bid-Build,Moderate,High,Fast,2023-07-15,2024-12-24,2024,75840300,1022,0.517,0.5267,1.0466,0.9915,-0.0208,-10,1.0764,29,4,0.698,0.9751
PRJ3-00626,Gateway Neighborhood 626,Residential,Southeast,NC,Private,Guaranteed Maximum Price,Design-Build,Moderate,Low,Fast,2018-09-22,2019-02-28,2019,81635000,320,0.497,0.4805,0.9057,0.9373,0.0412,5,0.8816,12,10,0.457,0.9715
PRJ3-00627,Pioneer Earthworks Package 627,Heavy Civil,West,WA,Private,Lump Sum,CMAR,Very High,Moderate,Slow,2021-11-16,2023-10-17,2023,106798100,1307,0.536,0.5439,0.8373,0.9511,0.1077,-10,0.9107,42,2,1.025,0.9628
PRJ3-00628,Crescent Process Plant 628,Industrial,Northeast,NY,Public,Lump Sum,IPD,High,Moderate,Slow,2020-02-23,2021-02-27,2021,127505300,790,0.469,0.4114,0.8597,0.8841,0.0713,46,0.933,10,17,0.436,0.9431
PRJ3-00629,Canyon Corporate Center 629,Commercial,Mountain,CO,Public,Guaranteed Maximum Price,Design-Bid-Build,High,Moderate,Standard,2025-01-05,2025-08-07,2025,59594400,597,0.36,0.2849,0.9973,0.8503,0.0054,45,0.9335,10,16,0.395,0.9531
PRJ3-00630,Horizon Logistics Center 630,Industrial,West,CA,Public,Cost Plus,Design-Build,Moderate,Moderate,Standard,2018-05-21,2019-05-01,2019,288455300,863,0.4,0.4048,0.9894,1.0153,0.0261,-4,1.0232,0,6,0.299,0.9763
PRJ3-00631,Crescent Water Program 631,Heavy Civil,Midwest,MI,Public,Guaranteed Maximum Price,Design-Bid-Build,High,Moderate,Standard,2020-08-10,2022-03-09,2022,257103900,1167,0.494,0.4155,0.8659,0.8581,0.0705,92,1.0423,34,21,1.032,0.9471
PRJ3-00632,Mesa Medical Center 632,Institutional,West,WA,Private,Guaranteed Maximum Price,Design-Bid-Build,Moderate,Low,Fast,2018-11-23,2020-01-08,2020,213825500,900,0.457,0.4088,1.0137,0.9104,-0.0108,43,0.995,12,13,0.665,0.9452
PRJ3-00633,Evergreen Residences 633,Residential,Mountain,UT,Public,Guaranteed Maximum Price,IPD,High,Low,Slow,2024-05-22,2024-10-31,2024,37646700,462,0.352,0.3508,0.9257,0.9893,0.0225,1,0.945,20,10,0.656,0.9398
PRJ3-00634,Gateway Distribution Hub 634,Industrial,West,CA,Public,Guaranteed Maximum Price,Design-Build,Moderate,Moderate,Standard,2022-06-02,2023-06-20,2023,97549700,947,0.405,0.3832,0.9488,0.9209,0.036,21,0.9783,11,7,0.824,0.9659
PRJ3-00635,Harbor Retail Center 635,Commercial,West,NV,Private,Guaranteed Maximum Price,Design-Bid-Build,Low,High,Standard,2024-09-08,2025-07-12,2025,72184800,598,0.515,0.5405,0.951,1.0292,0.024,-15,1.1359,18,0,0.465,0.9918
PRJ3-00636,Redwood District 636,Mixed-Use,Mountain,ID,Private,Lump Sum,Design-Bid-Build,Very High,High,Standard,2022-06-15,2024-02-21,2024,269157000,1116,0.552,0.4927,0.9174,0.8798,0.0409,66,0.8952,34,9,0.978,0.9546
PRJ3-00637,Redwood Apartments 637,Residential,Southwest,AZ,Private,Cost Plus,CMAR,Low,Moderate,Standard,2022-10-23,2023-06-25,2023,43654500,449,0.547,0.5462,0.9758,0.9771,0.0082,0,1.0637,13,11,1.002,0.9767
PRJ3-00638,Crescent Urban Village 638,Mixed-Use,Midwest,IL,Private,Unit Price,Design-Bid-Build,Low,Moderate,Fast,2024-09-22,2025-08-17,2025,335405400,896,0.368,0.3852,1.1075,1.0822,-0.0329,-15,0.9745,13,12,0.602,0.9836
PRJ3-00639,Aspen Transit-Oriented Development 639,Mixed-Use,Midwest,MI,Private,Guaranteed Maximum Price,Design-Build,Moderate,High,Slow,2021-03-14,2022-10-24,2022,243630200,1066,0.553,0.5337,0.9705,0.9435,0.0355,21,1.0068,12,13,0.432,0.9843
PRJ3-00640,Redwood Apartments 640,Residential,Northeast,CT,Private,Lump Sum,Design-Build,Very High,Low,Slow,2020-04-20,2021-05-02,2021,61279800,640,0.59,0.506,0.8826,0.8344,0.0781,54,0.8405,32,2,0.43,0.96
PRJ3-00641,Canyon Retail Center 641,Commercial,Southwest,NM,Private,Guaranteed Maximum Price,Design-Bid-Build,High,Moderate,Slow,2024-12-20,2025-08-22,2025,32840600,675,0.363,0.3209,0.8747,0.9503,0.0595,28,0.8573,31,16,0.804,0.9629
PRJ3-00642,Harbor Apartments 642,Residential,West,OR,Public,Guaranteed Maximum Price,IPD,Very High,Low,Standard,2021-01-04,2021-10-30,2021,64586100,622,0.481,0.4689,0.9586,0.9547,0.0099,8,0.8819,0,14,0.922,0.9607
PRJ3-00643,Harbor Corporate Center 643,Commercial,West,WA,Public-Private Partnership,Cost Plus,IPD,High,High,Standard,2024-03-11,2025-07-15,2025,49529700,834,0.589,0.6814,1.0381,1.12,-0.044,-77,1.0103,14,0,0.597,0.9689
PRJ3-00644,Riverside Residences 644,Residential,West,WA,Private,Lump Sum,Design-Build,Low,High,Fast,2023-05-15,2023-10-04,2023,21814900,396,0.36,0.3613,0.9542,1.0689,0.008,-1,1.0943,4,0,0.687,0.9759
PRJ3-00645,Granite Town Center 645,Mixed-Use,Northeast,NJ,Private,Guaranteed Maximum Price,CMAR,Very High,High,Fast,2019-01-05,2020-08-11,2020,479200900,1038,0.563,0.544,1.0033,0.976,-0.0017,20,0.9551,24,29,0.622,0.9773
PRJ3-00646,Granite Bridge Program 646,Heavy Civil,West,CA,Public,Lump Sum,CMAR,High,Moderate,Standard,2024-07-10,2025-10-08,2025,66297600,1286,0.354,0.334,1.0015,0.9216,0.0003,26,0.9916,27,0,0.439,0.9446
PRJ3-00647,Mesa Residences 647,Residential,West,OR,Public,Cost Plus,Design-Bid-Build,Moderate,Low,Standard,2020-11-22,2021-11-29,2021,13210900,677,0.55,0.519,0.8733,0.9163,0.0784,21,0.891,0,2,0.802,0.9638
PRJ3-00648,Cedar Civic Complex 648,Institutional,West,CA,Public,Unit Price,Design-Build,High,Low,Slow,2023-01-22,2024-04-13,2024,85920800,939,0.477,0.4542,0.9013,0.9193,0.0382,21,0.9259,31,0,0.316,0.9523
PRJ3-00649,Liberty Office Campus 649,Commercial,Mountain,ID,Public,Lump Sum,Design-Build,Moderate,Low,Standard,2023-03-19,2023-11-04,2023,271673300,548,0.42,0.4239,0.9109,0.931,0.0584,-2,0.8847,24,16,0.587,0.9558
PRJ3-00650,Cedar Water Program 650,Heavy Civil,Mountain,WY,Public,Lump Sum,CMAR,Moderate,Moderate,Standard,2021-03-20,2022-07-25,2022,184938600,1178,0.418,0.4503,0.9423,1.0704,0.0361,-38,0.9966,13,5,0.695,0.9803
PRJ3-00651,Redwood Marketplace 651,Commercial,West,NV,Private,Lump Sum,Design-Build,Moderate,Low,Standard,2023-10-16,2024-08-08,2024,81236700,496,0.599,0.554,1.0952,0.9081,-0.0448,22,0.9703,15,3,0.914,0.9797
PRJ3-00652,Horizon Retail Center 652,Commercial,Northeast,CT,Public,Guaranteed Maximum Price,Design-Bid-Build,Moderate,High,Slow,2019-08-11,2020-09-04,2020,71977700,762,0.512,0.4807,1.0371,0.9075,-0.0054,24,0.9635,0,20,0.397,0.9607
PRJ3-00653,Granite Retail Center 653,Commercial,Mountain,UT,Private,Lump Sum,Design-Build,High,Moderate,Standard,2018-04-24,2019-04-25,2019,206026500,746,0.491,0.4471,1.0194,0.914,-0.0182,33,0.9004,0,13,0.811,0.9801
PRJ3-00654,Evergreen Highway Improvements 654,Heavy Civil,West,NV,Private,Cost Plus,Design-Bid-Build,Moderate,Moderate,Standard,2022-02-15,2023-05-22,2023,270529300,1131,0.408,0.39,0.9758,0.9335,0.005,20,1.0297,0,0,0.827,0.9884
PRJ3-00655,Granite Neighborhood 655,Residential,Southwest,TX,Private,Guaranteed Maximum Price,Design-Build,High,Moderate,Slow,2018-09-12,2019-09-02,2019,61181600,813,0.437,0.445,0.9448,0.9687,0.0225,-7,0.9164,19,16,0.506,0.9679
PRJ3-00656,Crescent Transit Program 656,Infrastructure,Midwest,OH,Private,Lump Sum,Design-Bid-Build,Very High,High,Fast,2022-07-07,2024-03-13,2024,315794900,1151,0.535,0.5005,0.863,0.9847,0.0865,40,0.9369,23,28,1.227,0.9649
PRJ3-00657,Aspen Office Campus 657,Commercial,Southwest,TX,Private,Cost Plus,CMAR,Low,Moderate,Standard,2020-07-06,2021-05-15,2021,55977000,756,0.415,0.4028,1.1091,0.9462,-0.0596,9,1.0363,11,1,0.427,0.9775
PRJ3-00658,Evergreen Housing 658,Residential,West,OR,Public,Guaranteed Maximum Price,Design-Bid-Build,High,High,Slow,2022-01-08,2022-10-10,2022,72828200,715,0.385,0.3724,0.9753,0.9679,-0.0051,9,0.9898,0,0,1.035,0.9659
PRJ3-00659,Redwood Bridge Program 659,Heavy Civil,Northeast,NJ,Private,Cost Plus,Design-Build,Moderate,High,Standard,2022-04-08,2023-07-02,2023,233389300,895,0.503,0.5061,1.0483,1.0471,-0.0204,-3,0.9541,2,17,0.298,1.0
PRJ3-00660,Lakeview Office Campus 660,Commercial,West,WA,Private,Cost Plus,Design-Bid-Build,Very High,Moderate,Standard,2020-08-22,2021-09-01,2021,47826300,772,0.486,0.4391,0.8136,0.8643,0.1094,36,0.9714,30,4,1.028,0.9425
PRJ3-00661,Harbor Corporate Center 661,Commercial,Southwest,AZ,Public,Guaranteed Maximum Price,Design-Bid-Build,High,Low,Fast,2022-02-04,2022-08-21,2022,80644400,435,0.457,0.4352,0.9296,0.993,0.0378,9,0.9508,41,4,1.043,0.9554
PRJ3-00662,Gateway Highway Improvements 662,Heavy Civil,West,WA,Private,Cost Plus,CMAR,Moderate,Moderate,Standard,2018-10-20,2019-10-12,2019,262378000,893,0.4,0.4068,1.0204,0.9719,-0.0113,-6,0.9566,3,3,0.909,0.9782
PRJ3-00663,Canyon Bridge Program 663,Heavy Civil,Southeast,GA,Private,Guaranteed Maximum Price,Design-Build,High,Moderate,Standard,2020-12-23,2022-04-02,2022,109772100,995,0.468,0.5023,1.0068,1.062,-0.0151,-34,0.9779,1,9,0.792,0.9743
PRJ3-00664,Aspen Logistics Center 664,Industrial,Northeast,NJ,Public-Private Partnership,Cost Plus,CMAR,Very High,High,Standard,2024-08-15,2025-09-09,2025,253190200,959,0.407,0.4013,0.9745,0.9644,0.0069,5,0.9995,20,17,0.692,0.9864
PRJ3-00665,Canyon Water Program 665,Heavy Civil,West,NV,Public,Guaranteed Maximum Price,Design-Build,High,Moderate,Standard,2019-07-03,2021-02-03,2021,258648800,1443,0.403,0.3494,0.9222,0.9261,0.0435,77,1.0029,0,9,0.934,0.9786
PRJ3-00666,Crescent Earthworks Package 666,Heavy Civil,Southwest,TX,Public,Lump Sum,CMAR,Low,Moderate,Standard,2018-10-16,2020-04-28,2020,136997500,1110,0.505,0.4714,0.9591,0.9738,0.0136,37,0.8845,10,6,0.713,0.9753
PRJ3-00667,Harbor Utility Corridor 667,Infrastructure,West,CA,Public,Unit Price,IPD,Moderate,Moderate,Standard,2018-09-21,2019-10-25,2019,265072300,1032,0.387,0.3802,1.019,0.9994,0.003,7,1.0601,11,0,0.435,0.9729
PRJ3-00668,Riverside Water Program 668,Heavy Civil,Southeast,NC,Private,Lump Sum,CMAR,Moderate,Moderate,Standard,2023-07-10,2024-08-14,2024,167543400,1070,0.375,0.3624,0.9492,0.9309,0.0329,14,0.9678,19,17,0.177,0.9703
PRJ3-00669,Horizon Marketplace 669,Commercial,Northeast,NY,Private,Lump Sum,Design-Bid-Build,Moderate,Moderate,Fast,2025-01-16,2025-10-23,2025,91204700,672,0.417,0.4386,1.0129,1.0213,0.0083,-15,1.0617,17,18,0.712,1.0
PRJ3-00670,Canyon Utility Corridor 670,Infrastructure,Southwest,TX,Public,Cost Plus,IPD,High,Moderate,Standard,2023-03-25,2024-11-19,2024,296847100,1085,0.558,0.5457,1.0076,0.9927,0.0033,13,0.9842,18,1,0.872,0.972
PRJ3-00672,Liberty Corporate Center 672,Commercial,Midwest,MN,Private,Lump Sum,Design-Build,Low,Low,Slow,2024-10-18,2025-06-13,2025,42670600,633,0.377,0.3224,0.9226,0.8765,0.0214,35,0.9442,14,26,0.261,0.9761
PRJ3-00673,Redwood Distribution Hub 673,Industrial,Midwest,MN,Private,Unit Price,Design-Bid-Build,Moderate,High,Slow,2021-11-08,2022-10-24,2022,61234800,745,0.471,0.492,1.0421,1.0137,0.0032,-16,0.995,18,16,1.097,0.9692
PRJ3-00674,Harbor Water Program 674,Heavy Civil,West,CA,Public-Private Partnership,Guaranteed Maximum Price,Design-Build,High,Low,Standard,2019-07-06,2020-10-20,2020,106471100,1164,0.406,0.3746,0.8833,0.9135,0.0368,37,0.983,15,4,0.435,0.9593
PRJ3-00675,Summit Marketplace 675,Commercial,West,WA,Private,Guaranteed Maximum Price,Design-Build,Moderate,High,Fast,2019-11-06,2020-06-19,2020,81641700,509,0.445,0.4723,1.107,1.0763,-0.0188,-14,1.0009,0,4,0.589,0.9802
PRJ3-00676,Redwood Housing 676,Residential,West,CA,Private,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Slow,2018-11-19,2019-07-01,2019,27217600,484,0.463,0.4482,0.9178,0.9581,0.0433,7,0.9724,2,6,0.515,0.972
PRJ3-00677,Horizon Water Program 677,Heavy Civil,Southwest,NM,Private,Cost Plus,CMAR,Moderate,Moderate,Standard,2021-10-13,2023-01-10,2023,351145800,1092,0.416,0.3827,0.9949,0.9201,-0.0049,36,0.9458,16,4,0.194,0.9503
PRJ3-00678,Summit Logistics Center 678,Industrial,West,NV,Public,Guaranteed Maximum Price,Design-Bid-Build,Moderate,Moderate,Fast,2022-09-16,2023-10-06,2023,45644800,737,0.523,0.5325,1.022,1.042,-0.0183,-7,0.9552,5,8,0.421,0.9582
PRJ3-00679,Horizon Process Plant 679,Industrial,West,CA,Public-Private Partnership,Unit Price,CMAR,High,Moderate,Fast,2023-06-26,2024-10-01,2024,260539100,966,0.48,0.4909,0.8708,0.9812,0.0811,-11,0.9874,26,15,0.583,0.9852
PRJ3-00680,Mesa Transit Program 680,Infrastructure,Mountain,UT,Private,Lump Sum,Design-Build,High,Moderate,Standard,2020-02-11,2021-09-20,2021,188600000,1511,0.389,0.3588,0.9695,0.9319,0.0032,46,1.0203,16,17,0.239,0.9521
PRJ3-00681,Riverside Town Center 681,Mixed-Use,Mountain,UT,Public,Cost Plus,Design-Build,Moderate,Moderate,Slow,2017-12-21,2019-04-21,2019,164429300,1062,0.458,0.3672,0.8347,0.8086,0.0475,96,0.8519,0,17,0.406,0.9362
PRJ3-00682,Copper Public Works Program 682,Infrastructure,Southeast,VA,Private,Cost Plus,CMAR,Very High,Moderate,Fast,2019-08-02,2021-08-01,2021,257904500,1443,0.506,0.3927,0.9425,0.8216,0.0242,164,0.8767,28,19,0.797,0.9549
PRJ3-00683,Northstar Medical Center 683,Institutional,Mountain,WY,Private,Unit Price,Design-Build,Low,Low,Slow,2018-04-08,2019-05-12,2019,80028500,787,0.508,0.4657,0.9425,0.9145,0.0575,33,0.9631,27,12,0.494,0.9658
PRJ3-00684,Canyon Retail Center 684,Commercial,Southeast,GA,Private,Lump Sum,Design-Bid-Build,Low,High,Standard,2022-10-02,2023-08-15,2023,48043400,540,0.588,0.5903,1.0128,1.027,-0.003,-1,1.1596,15,15,0.38,0.9868
PRJ3-00685,Crescent Public Works Program 685,Infrastructure,Northeast,NJ,Private,Guaranteed Maximum Price,CMAR,Moderate,Low,Fast,2022-12-16,2024-05-18,2024,372092400,1255,0.414,0.3868,1.0111,0.9211,-0.0026,34,0.9502,20,18,0.311,0.9807
PRJ3-00686,Copper Distribution Hub 686,Industrial,Southeast,GA,Private,Cost Plus,CMAR,High,Moderate,Slow,2021-12-07,2023-01-01,2023,161975600,905,0.431,0.4019,0.7775,0.9081,0.1277,26,0.9577,12,2,0.007,0.9573
PRJ3-00687,Evergreen Marketplace 687,Commercial,Midwest,MI,Private,Guaranteed Maximum Price,Design-Bid-Build,Low,Moderate,Standard,2022-02-15,2023-01-28,2023,35446600,700,0.496,0.5324,1.0886,1.081,-0.0415,-25,1.0209,16,14,0.53,0.9817
PRJ3-00688,Redwood Medical Center 688,Institutional,Northeast,NY,Private,Unit Price,IPD,High,Moderate,Standard,2020-04-02,2021-08-11,2021,140922100,885,0.561,0.5707,0.9328,0.9816,0.0257,-9,0.9241,46,22,0.609,0.9745
PRJ3-00689,Harbor Highway Improvements 689,Heavy Civil,Midwest,MN,Public-Private Partnership,Guaranteed Maximum Price,Design-Bid-Build,High,Low,Standard,2023-03-05,2024-10-24,2024,295515600,1360,0.441,0.4017,0.9244,0.9244,0.0245,53,0.8959,36,18,0.516,0.976
PRJ3-00690,Copper Distribution Hub 690,Industrial,Midwest,MO,Public,Unit Price,CMAR,Moderate,High,Standard,2019-11-07,2021-01-26,2021,408088800,870,0.513,0.515,0.9838,0.9799,-0.0167,-2,0.9013,29,18,0.645,0.968
PRJ3-00691,Horizon Corporate Center 691,Commercial,West,WA,Public-Private Partnership,Cost Plus,Design-Bid-Build,Low,Moderate,Slow,2020-05-05,2021-06-18,2021,68032000,781,0.524,0.5563,0.8664,1.0116,0.0619,-25,0.9872,11,3,0.057,0.9573
PRJ3-00692,Gateway Marketplace 692,Commercial,Southeast,VA,Private,Guaranteed Maximum Price,CMAR,Very High,High,Slow,2019-07-22,2020-03-03,2020,58984400,544,0.415,0.3598,0.9104,0.962,0.0299,30,0.9143,22,15,1.061,0.9388
PRJ3-00693,Liberty Housing 693,Residential,Mountain,UT,Private,Unit Price,CMAR,Very High,Low,Slow,2020-04-08,2021-02-02,2021,26319300,764,0.393,0.3602,0.9585,0.8941,0.0198,25,0.9143,29,16,0.952,0.9384
PRJ3-00694,Evergreen Research Facility 694,Institutional,Mountain,CO,Public,Guaranteed Maximum Price,Design-Build,High,Low,Fast,2020-07-25,2022-02-13,2022,37340600,1089,0.522,0.5283,1.0053,0.9905,-0.0085,-7,0.9292,29,16,0.487,0.956
PRJ3-00695,Northstar Town Center 695,Mixed-Use,Southeast,GA,Private,Unit Price,Design-Build,Moderate,Moderate,Standard,2019-10-06,2021-06-16,2021,187353200,1048,0.591,0.6234,0.9105,0.9962,0.0599,-34,0.9613,0,11,0.716,0.9521
PRJ3-00696,Summit Neighborhood 696,Residential,Mountain,MT,Private,Unit Price,CMAR,Moderate,High,Standard,2021-07-25,2022-07-14,2022,24634700,611,0.581,0.5642,0.9857,1.0195,0.0051,10,1.0097,12,13,0.14,0.9701
PRJ3-00697,Evergreen Public Works Program 697,Infrastructure,West,CA,Private,Unit Price,Design-Bid-Build,Low,High,Fast,2023-04-14,2024-12-28,2024,244811700,1187,0.526,0.4733,1.0464,0.9445,-0.0303,63,1.0671,3,1,0.824,0.9495
PRJ3-00698,Canyon Neighborhood 698,Residential,Mountain,CO,Public,Cost Plus,Design-Bid-Build,High,Moderate,Standard,2018-09-24,2019-08-17,2019,70121000,624,0.525,0.4678,0.9498,0.9139,-0.0047,36,0.9853,30,4,0.249,0.9522
PRJ3-00699,Harbor Process Plant 699,Industrial,Southeast,FL,Public,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,2023-02-05,2024-02-26,2024,176058000,774,0.499,0.436,1.0026,0.956,0.0058,49,0.9972,20,10,0.612,0.9712
PRJ3-00700,Summit Office Campus 700,Commercial,Mountain,CO,Private,Cost Plus,Design-Bid-Build,Moderate,Moderate,Standard,2023-01-19,2023-08-10,2023,59533800,394,0.516,0.5172,0.8795,0.9827,0.0776,0,0.9734,12,5,0.8,0.9741
PRJ3-00701,Northstar Neighborhood 701,Residential,Midwest,MN,Private,Guaranteed Maximum Price,Design-Bid-Build,High,Low,Standard,2020-08-16,2021-11-04,2021,59463300,752,0.593,0.5231,0.8336,0.896,0.1079,53,0.915,40,20,0.604,0.9552
PRJ3-00702,Aspen Corporate Center 702,Commercial,Northeast,NY,Private,Guaranteed Maximum Price,Design-Bid-Build,High,Low,Slow,2024-10-02,2025-05-30,2025,58733900,546,0.44,0.367,0.8606,0.9066,0.0697,40,0.9087,39,5,1.22,0.9406
PRJ3-00703,Northstar Highway Improvements 703,Heavy Civil,West,CA,Public,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Slow,2017-11-23,2019-05-12,2019,137741700,1085,0.494,0.4936,0.9375,0.949,0.0312,0,0.9867,36,17,0.396,0.9609
PRJ3-00704,Pioneer Apartments 704,Residential,Southwest,AZ,Private,Guaranteed Maximum Price,Design-Bid-Build,Moderate,Moderate,Standard,2018-10-13,2019-06-12,2019,128475600,424,0.573,0.5838,1.0243,1.0586,-0.0027,-5,0.9305,3,3,0.225,0.9373
PRJ3-00705,Copper Utility Corridor 705,Infrastructure,Northeast,PA,Private,Guaranteed Maximum Price,CMAR,High,Low,Slow,2018-03-05,2019-09-27,2019,165262100,1171,0.488,0.4802,0.8448,0.9374,0.0803,9,0.8257,38,19,0.452,0.9692
PRJ3-00706,Canyon Neighborhood 706,Residential,Southeast,GA,Private,Guaranteed Maximum Price,Design-Build,Moderate,Moderate,Slow,2022-01-19,2022-12-20,2022,28731700,674,0.498,0.5019,0.9682,1.0185,0.0275,-3,0.969,24,23,0.518,0.9719
PRJ3-00707,Gateway Airport Improvements 707,Infrastructure,Southeast,VA,Public,Guaranteed Maximum Price,CMAR,High,High,Fast,2018-02-19,2019-07-15,2019,395095100,948,0.54,0.5319,1.0116,1.015,-0.0407,8,1.018,10,15,0.866,0.9644
PRJ3-00708,Horizon Process Plant 708,Industrial,West,NV,Private,Unit Price,Design-Bid-Build,Moderate,Low,Slow,2019-02-10,2020-01-11,2020,256256200,913,0.368,0.3037,0.8158,0.8754,0.0707,59,0.923,45,1,0.486,0.9441
PRJ3-00709,Cedar Utility Corridor 709,Infrastructure,Midwest,MO,Private,Guaranteed Maximum Price,Design-Bid-Build,High,High,Standard,2022-12-03,2024-08-28,2024,180423400,1200,0.529,0.4451,0.913,0.8326,0.0274,101,0.9367,25,12,1.032,0.9431
PRJ3-00710,Lakeview Neighborhood 710,Residential,Southwest,AZ,Public-Private Partnership,Unit Price,Design-Build,Moderate,Low,Slow,2020-12-13,2021-07-15,2021,54430000,471,0.456,0.4394,0.9037,0.9567,0.0526,8,0.9899,19,15,0.837,0.9657
